"﻿縣市別","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"桃園市桃園區","文化里","473","609924","1289","747","316","1536","1679.60","130.25"
"桃園市桃園區","武陵里","600","523057","872","517","270","989","1374.96","157.72"
"桃園市桃園區","文昌里","274","224626","820","496","259","988","966.29","117.87"
"桃園市桃園區","長美里","347","271737","783","519","256","967","1014.60","129.56"
"桃園市桃園區","永興里","674","599178","889","541","284","1067","1483.60","166.89"
"桃園市桃園區","南門里","2086","1727366","828","507","254","1017","1043.40","126.00"
"桃園市桃園區","東門里","1157","1074371","929","551","250","1112","1778.07","191.48"
"桃園市桃園區","西門里","625","638835","1022","566","274","1152","1368.97","133.93"
"桃園市桃園區","北門里","582","490864","843","482","236","950","1255.09","148.81"
"桃園市桃園區","雲林里","2302","1978524","859","534","252","1084","1074.41","125.01"
"桃園市桃園區","豐林里","2196","1718362","782","474","241","938","934.29","119.40"
"桃園市桃園區","會稽里","1497","1244833","832","556","249","1065","976.07","117.38"
"桃園市桃園區","朝陽里","640","519302","811","474","226","969","1231.09","151.72"
"桃園市桃園區","青溪里","1870","1789170","957","559","263","1149","1491.61","155.90"
"桃園市桃園區","汴洲里","3005","2676771","891","593","308","1105","1015.53","114.01"
"桃園市桃園區","東埔里","1506","1109347","737","476","234","934","846.61","114.93"
"桃園市桃園區","中埔里","1148","918921","800","474","231","1000","1027.09","128.31"
"桃園市桃園區","西埔里","1065","884292","830","523","251","1049","990.30","119.27"
"桃園市桃園區","中山里","2599","2409837","927","590","283","1199","1046.25","112.84"
"桃園市桃園區","中正里","3158","3390871","1074","697","332","1325","1445.59","134.63"
"桃園市桃園區","龍岡里","2183","1877981","860","540","272","1033","2297.84","267.10"
"桃園市桃園區","東山里","647","539997","835","472","222","1020","1186.55","142.17"
"桃園市桃園區","南華里","414","317955","768","420","211","939","1154.22","150.29"
"桃園市桃園區","大林里","2842","2492128","877","591","294","1123","977.19","111.44"
"桃園市桃園區","文明里","591","509322","862","537","258","1018","1107.20","128.48"
"桃園市桃園區","建國里","1826","1359172","744","489","247","956","837.14","112.47"
"桃園市桃園區","成功里","1575","1552809","986","562","272","1199","1339.89","135.90"
"桃園市桃園區","忠義里","1352","1094308","809","488","241","996","1163.88","143.80"
"桃園市桃園區","永安里","1536","1252271","815","512","244","999","1057.62","129.72"
"桃園市桃園區","玉山里","1711","1390769","813","476","234","954","1146.85","141.09"
"桃園市桃園區","中興里","2193","2028601","925","578","270","1133","1253.39","135.50"
"桃園市桃園區","西湖里","490","413251","843","477","227","1058","1228.28","145.64"
"桃園市桃園區","福林里","2173","1930284","888","557","268","1091","1099.41","123.77"
"桃園市桃園區","慈文里","2236","1800211","805","533","266","1050","924.41","114.82"
"桃園市桃園區","新埔里","1904","2001249","1051","607","294","1240","1725.80","164.19"
"桃園市桃園區","萬壽里","300","220885","736","444","233","848","886.36","120.38"
"桃園市桃園區","中成里","2605","2802539","1076","659","305","1307","1540.31","143.17"
"桃園市桃園區","長安里","1194","924720","774","495","256","906","955.11","123.32"
"桃園市桃園區","光興里","1750","1589980","909","552","260","1096","1376.10","151.46"
"桃園市桃園區","龍山里","1110","727928","656","426","221","782","819.24","124.92"
"桃園市桃園區","民生里","676","599633","887","568","279","1055","1107.36","124.84"
"桃園市桃園區","中和里","472","373799","792","491","219","951","1059.74","133.81"
"桃園市桃園區","大豐里","1749","1380766","789","484","234","1007","1332.43","168.78"
"桃園市桃園區","福安里","1562","1411030","903","532","250","1051","3192.76","353.44"
"桃園市桃園區","三民里","1712","1903462","1112","620","282","1249","1907.41","171.56"
"桃園市桃園區","大興里","2042","1679542","822","480","241","967","1095.25","133.16"
"桃園市桃園區","春日里","2238","1765487","789","507","242","986","974.92","123.58"
"桃園市桃園區","信光里","2586","2498939","966","566","270","1137","1964.56","203.30"
"桃園市桃園區","中寧里","2541","2927601","1152","668","289","1507","1379.15","119.70"
"桃園市桃園區","同安里","4199","6193152","1475","756","320","1729","2358.25","159.89"
"桃園市桃園區","莊敬里","3614","4707983","1303","660","297","1485","2189.18","168.05"
"桃園市桃園區","文中里","2389","2879862","1205","804","380","1561","1339.94","111.16"
"桃園市桃園區","泰山里","1376","1200298","872","522","245","1090","1309.56","150.13"
"桃園市桃園區","中路里","1471","1287232","875","574","276","1044","1059.08","121.03"
"桃園市桃園區","中德里","2306","2027643","879","525","250","1043","1242.82","141.34"
"桃園市桃園區","龍祥里","1863","1614969","867","552","296","1062","1008.97","116.39"
"桃園市桃園區","大有里","2531","2267651","896","593","261","1176","1047.39","116.90"
"桃園市桃園區","寶山里","1607","1244052","774","463","236","913","1825.17","235.77"
"桃園市桃園區","龍鳳里","2918","2512357","861","546","269","1097","998.23","115.94"
"桃園市桃園區","龍安里","2283","2175575","953","620","300","1226","1083.19","113.67"
"桃園市桃園區","自強里","2969","3349937","1128","601","288","1273","3545.24","314.21"
"桃園市桃園區","中信里","2147","1920171","894","548","267","1120","1199.20","134.09"
"桃園市桃園區","長德里","1785","1560735","874","544","256","1044","1171.19","133.95"
"桃園市桃園區","中平里","1715","1333489","778","475","243","954","986.79","126.91"
"桃園市桃園區","中原里","1769","1468981","830","537","259","1085","922.17","111.05"
"桃園市桃園區","中泰里","1645","1728643","1051","626","277","1266","1406.95","133.89"
"桃園市桃園區","南埔里","1997","2042875","1023","602","271","1278","1287.46","125.85"
"桃園市桃園區","寶慶里","2488","2995683","1204","705","323","1522","1490.72","123.81"
"桃園市桃園區","北埔里","1893","1805489","954","599","284","1177","1182.18","123.95"
"桃園市桃園區","三元里","1560","1220795","783","524","246","985","919.72","117.53"
"桃園市桃園區","中聖里","2127","2268289","1066","627","276","1305","1385.56","129.93"
"桃園市桃園區","龍壽里","2665","2262112","849","584","295","1105","947.55","111.63"
"桃園市桃園區","瑞慶里","2237","2227418","996","601","289","1183","1800.80","180.85"
"桃園市桃園區","寶安里","3065","2954110","964","566","260","1191","1289.79","133.82"
"桃園市桃園區","同德里","2461","3228368","1312","772","336","1606","1737.80","132.47"
"桃園市桃園區","明德里","1329","2130486","1603","716","326","1636","4841.59","302.02"
"桃園市桃園區","大樹里","1329","1006580","757","495","261","930","876.17","115.68"
"桃園市桃園區","大業里","2022","2174076","1075","635","299","1293","2614.07","243.12"
"桃園市桃園區","福元里","1873","1959641","1046","664","313","1371","1210.86","115.73"
"桃園市桃園區","經國里","2119","2762376","1304","752","326","1593","1709.23","131.11"
"桃園市桃園區","檜樂里","2324","1949412","839","527","256","1016","1547.43","184.48"
"桃園市桃園區","寶民里","1553","1252705","807","511","251","1043","920.50","114.12"
"桃園市桃園區","其他","1","993","993","993","993","993","0.00","0.00"
"桃園市桃園區","合計","145644","139880949","960","570","272","1159","1574.09","163.89"
"桃園市大溪區","興和里","435","304824","701","447","203","867","768.06","109.61"
"桃園市大溪區","福仁里","257","162618","633","446","213","697","830.14","131.20"
"桃園市大溪區","一心里","1460","1008278","691","460","217","859","810.85","117.41"
"桃園市大溪區","月眉里","343","210371","613","414","232","690","783.42","127.73"
"桃園市大溪區","康安里","342","207048","605","395","181","742","680.73","112.44"
"桃園市大溪區","義和里","439","267269","609","392","221","678","762.03","125.17"
"桃園市大溪區","福安里","542","387143","714","419","229","797","1059.73","148.36"
"桃園市大溪區","美華里","820","523854","639","426","205","747","890.75","139.43"
"桃園市大溪區","復興里","168","124797","743","421","206","668","1403.84","188.98"
"桃園市大溪區","新峰里","134","69567","519","355","181","660","653.53","125.88"
"桃園市大溪區","永福里","254","245912","968","510","268","1020","1523.30","157.34"
"桃園市大溪區","瑞興里","720","440703","612","394","212","746","991.58","162.00"
"桃園市大溪區","中新里","418","226853","543","397","213","645","562.46","103.64"
"桃園市大溪區","仁善里","1857","1656415","892","562","272","1119","1105.09","123.89"
"桃園市大溪區","南興里","1621","987594","609","421","229","746","706.40","115.95"
"桃園市大溪區","員林里","572","395429","691","473","246","901","725.87","105.00"
"桃園市大溪區","瑞源里","1203","918520","764","502","267","921","1078.44","141.24"
"桃園市大溪區","僑愛里","825","635030","770","488","254","930","1008.97","131.08"
"桃園市大溪區","一德里","1627","1015484","624","427","205","735","836.54","134.03"
"桃園市大溪區","仁愛里","1794","1307282","729","477","244","887","909.45","124.80"
"桃園市大溪區","仁義里","739","421997","571","385","196","705","656.32","114.93"
"桃園市大溪區","仁武里","1045","748737","716","473","241","917","862.36","120.36"
"桃園市大溪區","光明里","747","487009","652","457","253","805","665.76","102.12"
"桃園市大溪區","三元里","984","715693","727","541","272","932","770.24","105.90"
"桃園市大溪區","田心里","1380","869100","630","409","197","765","740.48","117.58"
"桃園市大溪區","仁文里","1261","842793","668","442","216","825","802.02","120.00"
"桃園市大溪區","仁和里","1647","1266180","769","507","247","967","918.34","119.45"
"桃園市大溪區","仁美里","1039","687352","662","453","234","788","815.13","123.22"
"桃園市大溪區","其他","0","0","0","0","0","0","0.00","0.00"
"桃園市大溪區","合計","24673","17133853","694","455","230","845","881.13","126.88"
"桃園市中壢區","後寮里","1873","1411941","754","525","278","936","835.47","110.83"
"桃園市中壢區","石頭里","574","522306","910","532","240","1068","1216.44","133.68"
"桃園市中壢區","新興里","1292","1047735","811","528","274","968","1077.53","132.87"
"桃園市中壢區","仁美里","2015","1645206","816","536","270","1030","913.11","111.84"
"桃園市中壢區","普仁里","1334","1038939","779","495","251","960","869.79","111.68"
"桃園市中壢區","普義里","1496","1320922","883","550","258","1159","1051.43","119.08"
"桃園市中壢區","內壢里","648","488579","754","485","248","900","1140.37","151.25"
"桃園市中壢區","內定里","2554","1973966","773","520","275","978","900.47","116.51"
"桃園市中壢區","水尾里","1302","1099287","844","512","261","1011","1261.08","149.36"
"桃園市中壢區","青埔里","4026","5504407","1367","930","433","1773","1528.01","111.76"
"桃園市中壢區","新街里","924","1018498","1102","607","284","1300","1568.85","142.33"
"桃園市中壢區","興南里","1100","966210","878","519","232","1086","1176.65","133.96"
"桃園市中壢區","興國里","640","518522","810","527","264","969","1130.29","139.51"
"桃園市中壢區","中壢里","241","187847","779","524","252","1077","850.17","109.07"
"桃園市中壢區","中榮里","275","234581","853","494","239","987","1159.01","135.87"
"桃園市中壢區","中建里","380","317888","837","458","225","1003","1200.37","143.49"
"桃園市中壢區","舊明里","483","401087","830","460","193","907","1251.72","150.74"
"桃園市中壢區","新明里","1258","974736","775","485","243","981","944.14","121.85"
"桃園市中壢區","三民里","1079","910111","843","485","246","937","1274.81","151.14"
"桃園市中壢區","五權里","2398","2424450","1011","633","311","1274","1156.81","114.42"
"桃園市中壢區","芝芭里","1956","2411581","1233","756","332","1507","1559.18","126.46"
"桃園市中壢區","內厝里","1751","1589312","908","543","286","1068","1288.95","142.01"
"桃園市中壢區","月眉里","2146","1584614","738","478","245","907","1067.58","144.58"
"桃園市中壢區","山東里","1244","893045","718","474","241","880","796.75","110.99"
"桃園市中壢區","過嶺里","3600","3616205","1005","687","355","1287","1195.56","119.02"
"桃園市中壢區","興仁里","1165","854075","733","476","237","880","1028.12","140.24"
"桃園市中壢區","中原里","1227","895494","730","484","243","913","821.11","112.51"
"桃園市中壢區","自立里","1620","1093689","675","479","255","884","670.06","99.25"
"桃園市中壢區","洽溪里","2351","2763979","1176","832","402","1501","1315.76","111.92"
"桃園市中壢區","中堅里","1301","1021517","785","537","265","1050","791.01","100.74"
"桃園市中壢區","永興里","286","232095","812","553","237","980","1193.09","147.02"
"桃園市中壢區","光明里","1935","1926775","996","577","274","1204","1506.57","151.30"
"桃園市中壢區","中央里","1351","1264619","936","566","270","1099","1253.86","133.95"
"桃園市中壢區","龍岡里","1513","1111473","735","510","249","893","906.72","123.43"
"桃園市中壢區","中正里","1877","1509666","804","517","279","939","1073.17","133.43"
"桃園市中壢區","篤行里","1040","969016","932","563","280","1069","1298.91","139.41"
"桃園市中壢區","信義里","1685","1599027","949","590","298","1185","1176.42","123.97"
"桃園市中壢區","忠義里","1614","1408017","872","611","307","1121","944.87","108.31"
"桃園市中壢區","忠福里","1585","1377512","869","596","308","1135","964.35","110.96"
"桃園市中壢區","東興里","1245","1178682","947","571","276","1161","1256.18","132.69"
"桃園市中壢區","復興里","1546","1164840","753","565","301","966","737.97","97.95"
"桃園市中壢區","自強里","1289","1129195","876","520","254","1098","1156.62","132.03"
"桃園市中壢區","龍平里","853","587193","688","445","212","800","1020.80","148.29"
"桃園市中壢區","成功里","1547","1154013","746","500","281","929","956.57","128.23"
"桃園市中壢區","龍興里","1545","1176077","761","542","272","964","887.36","116.57"
"桃園市中壢區","仁愛里","1109","947173","854","543","272","1005","1113.02","130.32"
"桃園市中壢區","仁德里","971","621956","641","464","241","831","628.64","98.14"
"桃園市中壢區","仁祥里","841","496981","591","428","214","746","697.37","118.01"
"桃園市中壢區","龍東里","1595","1119573","702","452","238","843","857.90","122.22"
"桃園市中壢區","龍昌里","1993","1248642","627","441","232","772","676.15","107.92"
"桃園市中壢區","文化里","3277","2685984","820","523","269","992","981.86","119.79"
"桃園市中壢區","振興里","1658","1228641","741","532","280","937","784.72","105.89"
"桃園市中壢區","普慶里","868","691180","796","493","251","929","1081.10","135.77"
"桃園市中壢區","興和里","951","745427","784","510","248","915","976.87","124.63"
"桃園市中壢區","永光里","2084","1915394","919","615","278","1227","1045.57","113.76"
"桃園市中壢區","復華里","2062","1711252","830","562","283","1064","899.64","108.40"
"桃園市中壢區","忠孝里","1812","1686575","931","600","283","1202","1189.81","127.83"
"桃園市中壢區","福德里","1001","865221","864","507","270","975","1153.48","133.45"
"桃園市中壢區","和平里","834","607021","728","503","263","927","758.00","104.14"
"桃園市中壢區","普忠里","1162","1215293","1046","573","276","1292","1427.48","136.49"
"桃園市中壢區","普強里","1368","1163446","850","521","255","1028","1286.26","151.24"
"桃園市中壢區","明德里","1737","1482151","853","556","270","1063","984.49","115.38"
"桃園市中壢區","至善里","1296","960008","741","514","267","927","815.47","110.09"
"桃園市中壢區","五福里","1159","874663","755","461","236","887","973.06","128.94"
"桃園市中壢區","龍德里","1488","1297445","872","543","274","1141","969.11","111.14"
"桃園市中壢區","正義里","1641","1326107","808","516","240","1018","943.75","116.78"
"桃園市中壢區","龍安里","615","402909","655","448","227","790","744.20","113.59"
"桃園市中壢區","中山里","1832","1433420","782","508","267","936","1612.95","206.15"
"桃園市中壢區","德義里","901","715074","794","525","248","1013","965.81","121.69"
"桃園市中壢區","仁義里","1446","1355847","938","583","281","1166","1166.10","124.36"
"桃園市中壢區","華勛里","1412","917317","650","479","231","854","675.38","103.96"
"桃園市中壢區","仁福里","1666","1120921","673","455","246","834","748.91","111.31"
"桃園市中壢區","幸福里","2267","1812342","799","502","249","959","1088.33","136.14"
"桃園市中壢區","永福里","2038","1607151","789","510","249","962","943.10","119.59"
"桃園市中壢區","仁和里","1213","816135","673","493","250","883","651.50","96.83"
"桃園市中壢區","華愛里","1291","1021730","791","500","268","984","1026.87","129.75"
"桃園市中壢區","莊敬里","1227","961825","784","530","252","986","914.80","116.70"
"桃園市中壢區","自治里","1321","1131760","857","550","283","1113","965.66","112.71"
"桃園市中壢區","健行里","1614","1432243","887","595","300","1149","959.29","108.10"
"桃園市中壢區","興平里","827","738456","893","572","282","1090","1180.41","132.20"
"桃園市中壢區","中興里","1365","1229777","901","506","269","960","4762.26","528.59"
"桃園市中壢區","龍慈里","1797","1379545","768","525","269","982","888.31","115.71"
"桃園市中壢區","自信里","2175","1928732","887","562","290","1152","986.69","111.27"
"桃園市中壢區","林森里","1366","1099942","805","504","245","993","963.00","119.59"
"桃園市中壢區","金華里","1815","2716012","1496","840","340","1857","2201.63","147.13"
"桃園市中壢區","青溪里","1502","2440829","1625","1021","439","2116","2882.14","177.36"
"桃園市中壢區","興華里","2231","2079983","932","628","321","1195","1117.92","119.91"
"桃園市中壢區","興福里","1353","1053889","779","503","248","955","1027.14","131.87"
"桃園市中壢區","其他","8","6947","868","741","339","1505","691.87","79.67"
"桃園市中壢區","合計","129353","112811846","872","549","273","1070","1243.95","142.63"
"桃園市楊梅區","楊梅里","1456","1275713","876","547","272","1050","2727.60","311.31"
"桃園市楊梅區","楊江里","359","277915","774","504","245","990","828.81","107.06"
"桃園市楊梅區","紅梅里","847","627768","741","483","254","911","874.35","117.97"
"桃園市楊梅區","水美里","1409","954605","678","437","229","847","802.70","118.48"
"桃園市楊梅區","上田里","1023","611992","598","424","236","763","602.03","100.63"
"桃園市楊梅區","東流里","1003","591539","590","408","212","711","751.02","127.34"
"桃園市楊梅區","大平里","1041","695936","669","466","247","771","1434.29","214.54"
"桃園市楊梅區","永寧里","2855","2521574","883","548","282","1030","1542.86","174.69"
"桃園市楊梅區","瑞原里","1254","715249","570","424","233","718","554.46","97.21"
"桃園市楊梅區","員本里","998","657302","659","476","264","840","800.77","121.58"
"桃園市楊梅區","富岡里","576","376353","653","428","224","799","809.16","123.84"
"桃園市楊梅區","豐野里","1334","873554","655","468","250","853","674.67","103.03"
"桃園市楊梅區","上湖里","2225","1493665","671","470","258","841","950.73","141.62"
"桃園市楊梅區","三湖里","1042","664174","637","455","248","765","766.93","120.32"
"桃園市楊梅區","梅溪里","1723","1406540","816","531","260","965","983.68","120.50"
"桃園市楊梅區","瑞塘里","2222","1778314","800","533","267","975","986.53","123.27"
"桃園市楊梅區","埔心里","444","307332","692","490","255","852","721.79","104.28"
"桃園市楊梅區","高山里","1443","987243","684","479","248","858","741.07","108.32"
"桃園市楊梅區","高榮里","1261","934826","741","457","230","806","1146.07","154.59"
"桃園市楊梅區","金龍里","687","513765","748","559","300","939","831.14","111.14"
"桃園市楊梅區","四維里","2014","2072875","1029","622","301","1258","1319.25","128.18"
"桃園市楊梅區","梅新里","718","582488","811","505","262","955","1146.14","141.28"
"桃園市楊梅區","仁美里","1310","850973","650","447","235","787","758.68","116.79"
"桃園市楊梅區","光華里","1089","680520","625","430","220","784","781.81","125.11"
"桃園市楊梅區","大同里","1340","999780","746","515","271","917","869.58","116.55"
"桃園市楊梅區","中山里","1142","872580","764","495","252","913","919.04","120.28"
"桃園市楊梅區","楊明里","3392","2878694","849","586","307","1054","927.45","109.28"
"桃園市楊梅區","金溪里","1706","2016924","1182","645","304","1373","1815.63","153.57"
"桃園市楊梅區","裕成里","1255","1128234","899","544","269","1035","1513.82","168.39"
"桃園市楊梅區","秀才里","1201","727167","605","436","239","760","614.81","101.54"
"桃園市楊梅區","青山里","1615","964124","597","436","231","761","614.84","102.99"
"桃園市楊梅區","新榮里","1254","998813","797","489","250","929","1098.12","137.87"
"桃園市楊梅區","雙榮里","1211","1006909","831","554","292","1037","896.46","107.82"
"桃園市楊梅區","瑞坪里","2335","1754252","751","520","265","969","804.81","107.12"
