區域別,村里數現有門牌,村里數戶籍登記,鄰數現有門牌,鄰數戶籍登記,戶數,性別,人口數,遷入人數自國外,遷入人數自他省市新北市,遷入人數自他省市臺北市,遷入人數自他省市桃園市,遷入人數自他省市臺中市,遷入人數自他省市臺南市,遷入人數自他省市高雄市,遷入人數自他省市臺灣省,遷入人數自他省市福建省,遷入人數自他省市其他省市,遷入人數自本省他縣市,遷入人數自本縣市他鄉鎮市區,遷入人數初設戶籍,遷入人數其他,遷出人數往國外,遷出人數往他省市新北市,遷出人數往他省市臺北市,遷出人數往他省市桃園市,遷出人數往他省市臺中市,遷出人數往他省市臺南市,遷出人數往他省市高雄市,遷出人數往他省市臺灣省,遷出人數往他省市福建省,遷出人數往他省市其他省市,遷出人數往本省他縣市,遷出人數往本縣市他鄉鎮市區,遷出人數廢止戶籍,遷出人數其他,住址變更人數入,住址變更人數出,行政區域調整人數增,行政區域調整人數減,嬰兒出生總數婚生,嬰兒出生總數非婚生已認領,嬰兒出生總數非婚生未認領,嬰兒出生總數無依兒童,生母原屬國籍大陸港澳地區,生母原屬國籍外國籍,生父原屬國籍大陸港澳地區,生父原屬國籍外國籍,遺腹子,雙胞胎,三胞胎以上,死亡人數,認領人數,收養人數,終止收養人數,監護人數,輔助人數,未成年子女權利義務行使負擔人數,結婚對數_不同性別,結婚對數_相同性別,離婚／終止結婚對數_不同性別,離婚／終止結婚對數_相同性別
桃園區,85,85,1794,1793,210351,1,229554,46,127,57,0,21,7,19,86,7,0,0,262,8,0,29,92,38,0,13,6,14,104,5,0,0,278,0,0,644,644,0,0,95,0,2,0,1,3,0,1,0,4,0,145,0,3,3,3,3,55,127,0,102,0
桃園區,,,,,,2,249110,65,151,80,0,14,11,28,80,9,0,0,304,15,0,50,115,70,0,14,9,11,96,3,0,0,311,1,1,734,734,0,0,72,3,3,0,3,4,0,3,0,4,0,96,4,5,0,3,2,51,,1,,0
中壢區,91,91,2005,2000,191713,1,213469,43,59,38,0,22,10,12,91,5,0,0,320,15,0,51,51,43,0,18,11,16,98,6,0,0,315,0,1,499,499,0,0,98,1,4,0,1,6,2,1,0,6,0,157,2,1,2,9,0,46,117,0,72,3
中壢區,,,,,,2,225751,47,76,47,0,21,7,19,112,5,0,0,335,14,0,53,69,47,0,25,18,17,94,7,0,0,367,0,1,617,617,0,0,88,2,1,0,1,2,2,0,0,4,0,82,2,5,1,13,1,32,,5,,0
大溪區,28,28,679,679,37792,1,47312,5,15,2,0,4,2,2,15,1,0,0,76,3,0,8,16,4,0,5,0,0,17,0,0,0,71,0,0,86,86,0,0,19,3,0,0,0,1,0,0,0,0,0,48,4,0,0,1,2,15,21,0,24,0
大溪區,,,,,,2,46241,10,23,5,0,3,0,1,16,1,0,0,95,3,0,4,26,7,0,11,1,3,22,1,0,0,84,0,0,91,91,0,0,13,0,1,0,0,0,0,0,0,0,0,32,0,1,0,0,0,11,,1,,0
楊梅區,41,41,1014,1004,75078,1,91174,12,23,21,0,7,2,4,57,1,0,0,103,0,0,7,18,11,0,7,3,6,62,1,0,0,92,0,0,217,217,0,0,41,0,0,0,1,2,0,1,0,0,0,66,0,1,0,2,0,22,52,0,41,0
楊梅區,,,,,,2,91955,10,37,13,0,11,5,4,60,0,0,0,121,7,2,24,27,11,0,17,5,4,65,1,0,0,116,2,2,240,240,0,0,48,1,1,0,0,2,1,1,0,2,0,43,1,0,3,4,1,28,,1,,2
蘆竹區,39,39,690,689,70644,1,83647,16,30,17,0,5,6,8,35,2,0,0,141,9,0,21,16,21,0,7,1,0,48,0,0,0,142,1,0,160,160,0,0,30,1,0,0,0,3,0,1,0,0,0,54,1,1,0,0,1,16,38,2,27,0
蘆竹區,,,,,,2,86729,21,28,26,0,8,6,1,37,0,0,0,152,10,0,24,36,20,0,10,7,7,37,1,0,0,135,0,0,157,157,0,0,28,0,0,0,1,2,0,1,0,0,0,33,0,1,1,3,0,9,,0,,0
